,Author,Post Content,No of Reactions,No of Comments,Comment One,Comment Two
258,Onee Tshenyego,Bathong ATM CARGO e gana ka dilwana tsa rona its been weeksThey are not responding to our messagesTracyWong,140,449,"How did it go? How far, ba a reng?",
259,Kaone Letsholo Shoshong-Mongale,Nando'sLetlhakane. Where is the cheese sauce,218,127,"Le mo ghetto, maloba ke rekile meal wa 259, di pieces tsa teng kefa ekare ketsa kokwana. Ke tshamikisitse madi ame.",Batho ba tshamekela mo tirong hle
260,Kunda Huntèr,"Pula Spar Puma Filling Station continues to offer some of the worst service I’ve seen in the country. It’s as if they go out of their way to hire employees who couldn’t care less about being there. There’s usually one attendant covering the filling site while others wander around. Don’t go there if you’re in a hurry to fill up on gas; they’ll teach you patience, but not the good kind.",14,19,Who owns the franchise?,K ba bone ka Saturday gr k mahlata ela
261,Kagiso Keitheile,"Malatsi a refa fela fa koBotswana Telecommunications Corporation - BTC. And yet I subscribe for 10Mbps.  Come on now guys, go diragalang malatsi a?",8,16,when you subscribe for shared/ caped connection you don't acctually get you subscribed bundle but uncaped give you that and expensive,"Starlink e teng, ba bakile gompieno.."
262,Onthusitse Pony Nthatsi,"DearOrange,",2,4,It's a prank... gao nne le bana? Gongwe ke bone ba subscribileng ,
263,Malebogo Mosweu,"Dumelang. Richard ke kopa thuso batho ba Single Fabstarz ba refund my money, sale ba ntikolosa from last year May 2023 till today. Before Le tswala shop ka Friday e bo Le busitse my P1400.00 coz you failed to deliver my dress for more than a year mme Le tsere Madi.",81,95,Amogelang Batsetswe  your shop trending again,
264,Pilane Baboloki,Ke kopa thusoKe nale ewallet mo number ya Orange jaanong pin e expire ke lekile gore ke dira pin from friday till today Sunday gatwe MMI invalid. Ke dire jang,16,21,"I HAVE GIVEN UP WITH FNB  KYC  AT AIRPORT JUNCTION.     I  AM GIVING IP NOW AFTER 9 VISITS AND TOLD A MONTH AGO THAT I AM FULLY COMPLIANT AND ON SATURDAY, PAYING FOR MY GROCERIES AT THE fIELDS WOOLWORTHS IT CAME BACK RESTRICTED AND DELINED......FNB   Y… See more",
265,Peters Tauetona Peters,KFC Botswana. Explain this why is it you advertise a meal at P149  then when we call to order for delivery the meal becomes P169. We called directly at the shop and expected P20 for the usual delivery. But there was now an extra P40 on the receipt (the final total) total paid is P189.  Please clarify this for me ..,42,28,I stopped ordering delivery ya KFCthey charger extra on top of delivery fee and they can't explain why...,"Is not only KFC "" there is a charge for delivery"
266,Kat Paul,"FNBB ,i have my smart account for 4 years now ,i do cash with it ,buy airtime e.t.c ..But it seems i still have 0 cash backsWhy is that ?!To my surprise,those who had theirs within the period of 1 year with minimal cashing , buy airtime have cash backsCan i please know what's going on...",7,11,Mesh K Williamss,
267,Elemang TheSaint Gabonnwe,Botswana Power CorporationI reported a meter on call fault yesterday and have not been assisted. I am reliably informed by a friend who works for BPC that it has been closed because my number was not going through when they called me (keep in mind my phone was never off or out of network coverage). I am also supposed to receive an SMS that my query has been closed but I have not received such SMS. It seems the fault reporting procedure was made by BPC for the satisfaction an…See more,20,6,Do a follow up to check,"BPC ke scam. E bile don't think ka compensation even if it's their fault, ke tenega sesha ebile "
268,Tiara Grac,I would like to name and praise Twinkle Dental Clinic atSidilega Private HospitalThee best and humble team ever. Your service is always over the topCouldn't swipe due to KYC issues with my bank but they were patient and allowed me to fix and pay later for a major service they had done for me.Thanks Dr Matshaba and team. You are best,35,,,
269,Dallas Nash,"I often use this page to have a moan but this time I have nothing but praise and it goes to …..DHL! My son’s birthday is coming up so last Saturday morning (17.08.24)  I packed a few small gifts neatly into a sturdy cardboard box , ready for mailing to the US. At DHL The female clerk assisting me weighed the item and quoted me P800. Then she took the measurements and advised she would have to charge P1200 as DHL also factors in the box size. I was disappointed as it was the p…See more",149,7,"Bao ke becha ka bone. Used them for more that five years, Gabs office. No stress.",
270,Sleboh Malete,"Waitse batho ba ba kgweetsang dibase ke bone ba ba dirang dikotsi tota mo tseleng di spot lights tse ba di tseng tseng di dangerous mo go maswe o fitlhela ba brighter hela ka bomo,a mme ba letelwa go di tsenya",25,26,Mme rona re di ntshisiwa everyday gatwe gadiletelelwe......,Tried reporting this to transport department and they gave me a very stupid response. They couldn't even take into account that the maximum permitted driving light in the the traffic act is 7000 Lumens. Best response is also buy a bright set of lights … See more
271,Bennett Khumbula,,215,325,I buy electricity for P100 and they give me 66 units. Is this normal,"Try to buy once in a month, ha o reka ga ntsi ntsi charge rate e ya kwa godimo"
272,Bridget Nyathi,"Dear Orange , on the 19of august i went to your office to go and register my line for kyc and iwas attended by a lady who was at counter number  number 5 , that lady embarrassed me because i did not have a permit and she even refused to open my line for me, so i want to ask is it a crime to bea foreigner.?? NOTE I HAD MY VALID PASSPORT WITH ME",91,168,What permit does a 90 day visitor need while at the same they need to have Botswana Sim cards?,Botswana Communications Regulatory Authority - BOCRA  re kopa le baakanye policy ya lona ....i visited SA at some point and i struggled to get a sim card..i didn't know gore le kwano ke kgwetlho for visitors...
273,El Posta Mpho,"I'm using Mascom Internet and this is what I receive ntse kele online,ke bothodi ba eng ne lona??",10,10,Mascom ke leboto hela semausu seee,Re bona one ao. E kgona go go baa mo basic mode mme data e le on
274,Girlie Mmutle,"Bathong imagine o editse burger abo ore ke tsene ka KFC ka e gauhi ha o tsena ko lapeng o bona this,KFC BotswanaTurnright mall ga ke happy gothelele ka burger ya lona please",74,75,Hungry lion le ya gabs bus rank sies ,Ga se kgang ya availability ya di veg?
275,Richard Harriman,"Another morning spoiled by telling a consumer he'd lost up to P50,000 to scammers pretending to sell cars and equipment from South Africa.",50,5,Kante Richard o approver Di post tse di rileng,
276,Onks Ramato,"Richard Pedros Botswana,the fields mall is at it again.i bought food on Monday from their outside service machine and that’s the receipt i got and money was deducted from my account,they couldn’t give the order coz the receipt says order was not placed,we tried to reason together but could not come to agreement,they said to me if the receipt is written like that money will be credited back to me in 24hrs which is not the case as I type this,so I went to them again on Wednesda…See more",80,41,Find out if you can make an oder o le ko lapeng go and get it and pay........ If so please oder 10 full chickens and DONT GO AND COLLECT.... ba tlaa imentioner ,I will never set foot there again I had rice that was well over expired or should I say off the chicken was raw ahhh never ever again
277,Dy Kgosi,Richard please can you tag Google map International to come and update our road insfractures most especially Gaborone.... Our GPS is not longer accurate... I still see BTV circle on my GPS.,162,47,Are you using a Blackberry or Itel?,
278,Richard Harriman,,3,,,
279,Wa NK,There seem to have been a challenge withFNB Botswanasystems yesterday.  Does anyone have any release apologising for the inconvenience? I wonder if I somehow missed it or they didn't issue any note to that effect.,2,1,Mine write on the app when I logged in .,
280,Ofentse Moremi,"And then there isOrangeBotswana, maabane they cut me at around 18:15 but my sub e fela around 18:30, ke raa cutting ya daily what what limit, ok ke busy ke dira sengwe ke tswa mogo tsone. At around 19:30 I subscribe again, Orange go gana go mpulela batswa go mpulela after 12 midnight. So fao cuttiwa gotwe you have reached your daily limit, lefa oka dira another subscription you are still banned until after midnight?",18,56,Experienced the same today. Ke  bo ke dira 1 day on top of 7 days. I'm wondering what happened the number of times I had to restart my phone... Orange Botswana no man,Censorship... it's political times and they are aggravating everyone
281,Lame LG Momene,"Hello Richard, Kate and cwd family. I have received amazing, exceptional service at Boseja clinic, mochudi a govt clinic(22/08/24). It was my first time at the facility and may I mention that it is very clean! Both yard and indoor! WeHad a little interactive health education session before anything and the staff is super friendly. Hat off to nurse Edward, who was amazing and kept me updated about his whereabouts, what he was doing (because my daughter was under observation) …See more",95,9,,
282,Ursula Nunes,"I have a simple question. So I go to the doctor cause I have a serious problem with persistent pain. I get checked, blood tests gets done and an X-ray is done. (X ray at there premises) So all good I leave. Now - is it my responsibility to remind the doctor the next day to check if the results are out yet ? Okay so I do cause I am the one with the pain.  So according to the doctor there is a problem with my back that needs further investigation a MRI. Right so I collect the r…See more",37,36,Cases like this is better to hear both sides of the story  b4 i judge,Never agree to a an xray nir a scan if you have back problems...just go straight for an MRI...otherwise they'll milk you of money....
283,Anneline Singh Puskas,"To whomever are the owners of that Boba Tea joint at Game City. I think the store is called Zebra something. I stand to be corrected. So this afternoon, I bought 4 Boba teas for my kids and their two friends. When we got home, all 4 of the kids who tasted the Boba Tea gagged.They said it tasted horrible and that is was smelling offish.",21,6,I have no relation what so ever to the specified shop.....did you taste the tea? Did you get the same flavour the kids usually get? And also do you usually buy the boba tea from that same place?Im just curious really,anneline singh Puskas sometimes keep record
284,MsGaone Ndo,Good afternoon. I engaged an  Aluminum Company in 2022 to do windows and doors for me. I paid the full amount as per the company's  request.  It took them time to supply and fit . When they rendered their service after being on their neck1. I had ordered the pivot door they delivered a glass door see thru not even tinted. It took them more than 8 months to come and put the wood and tint2. The same glass door they supplied leaves a gap when its raining the water gets inside…See more,32,37,Braten Isaacs go through the comments,
285,Mesadi Setho Mothooagae,"As a food safety enthusiast, I was intrigued by the potato issue that sparked discussions on social media earlier this year, so I decided to quietly investigate. Upon visiting the farm in question, I was impressed by the safety and quality measures they demonstrated during my visit. They were transparent in their operations, which seemed satisfactory from a food safety perspective.",653,155,Thank you for the information.,
286,Cassandra Beno Pule,,54,131,Clicks the fieldsmall Bathong dipampers tsa brand jwa lona di dutlisa moroto k raa ngwana o nna fela a kolobile di fedile fela di sa bereka gakea itumela tota,Clicks the fieldsmall Bathong dipampers tsa brand jwa lona di dutlisa moroto k raa ngwana o nna fela a kolobile di fedile fela di sa bereka gakea itumela tota
287,Tsholofelo Tsie,One day retsile gobua nnete ka di gas stationbathong . Waitse gobotlhoko otshela petrol or diesel with trust n all of a sudden u realize dat  half of what u bought was a lie. How they do it bone baotse bare gonna le mokwepa. We need to act on Dez. Kanye Engen filling station eha education it's enough. Dez is not for the first time,30,32,I don't understand because fa motho a go tshelela wa go bollela gore wa simolla le wena o bona bo zero,Ga go tshelwa fuel itwaetse go lebelaa machine gore a o kwadile 00..e tshwanetse gore ga petrol attendant a simolalago tshela o tshwabetse to tagg o ta utwa sound ya ting abo o itse gore wa simolla jaaanong abo o lebella machine o runner......tswang mo… See more
288,Metsiapula Lele Ntsayakgosi,"We bought thesePampersatTRANS Cash & CarryGaborone. Bathong,these nappies are leaking. Imagine mo serameng sa gompieno mo ngwaneng. Waits madi a rona guysPampers diapersPST Sales & Distribution",58,104,Ako le rekeng Huggies gold E cheap ko fours ka box,
289,Onty Modikwa Makhulela,"Lona Spar Riverwalk mokgwa o wa lona wa go chencha sticker sa di cake sa ""packed on"" date mo dicaking ga se sone, ne ke ithaa ke re ke sa Ko Nzano hela, ke ye cake ya lona ya re no, im not fresh. O kare sponge se le dry. Ke e jele ga ke e buse, next time ke a e tsisa.",31,15,Send your number on messenger,I went to Accacia spar on Wednesday just to find no fresh hamburger rolls.. Only rolls as hard as a rock...  This is not the 1st time!  We pay so much for groceries /food/ vegetables  at least expect to find fresh confectionery/bread  at any time of the day..
290,Lo Ruo,Botswana Telecommunications Corporation - BTCfor the money we are paying this is totally unacceptable to be happening every day in the evening,,4,Every day waitse we no longer know which services provider can we look up to,Star Link is coming.   its doing great in Africa
291,Lone,,39,78,Waitse router ya Orange ya ntena bagaetsho ke na le 3 days ke restarta e gana mxxxm,Iyo mathata ao
292,Seroke Makgale,,14,24,Francistown water is red and it's been a while and nothing is done,Monarch  a red ebile go lebaka a ntse jalo
293,Bose Majoni Monageng,Nando'sPalapye River view am not happy at allI bought this and its burnt and Bo nkga go shaI said mild le mpha HotFa ke bowa ke batla Madi ame ae aaaaahI was on drive through,32,37,Thank you so much Nando's I managed to get nice food today in molepolole as a refund Re ta kopana ko Palapye gape kana ke ja mo go Lona everyday ,
294,Boipeile Moiseraela,"Mascomyou are really reaping us alive, to think that I subscribed for Wifi yesterday, I can't even upload a picture and it has been on and off since yesterday. Sentesente a mme coverage ya lona e teng mo Palapye Extension 4, kana le re rekisitse modems hela to reap us.",6,10,"Ga se gore WiFi ya bone e down countrywide jaanong, e bereka go nna on and off ",
295,Katlie Maps,,63,130,Mascom Internet be failing us this days  we get robbed our hard earned cash. Go botoka network efe,Mascom Internet be failing us this days  we get robbed our hard earned cash. Go botoka network efe
296,Ofentse Prosper Nglazi,Botswana Telecommunications Corporation - BTCwe do not call you to listen to your elevator music. Why do your phones not ring like normal phones instead of connecting me immediately to your lullaby and wasting my airtime.,1,5,Same applies with DStv,
297,Mpuleng Laylah Ramakwati,,19,5,FNBB how long does it take to unfreeze an account kante? Its been 3 weeks kana jaanon,Ba batla re ba tagger. FNB Botswana ha se gore le eme ha le thuse mongwe kana le mo neele madi a gagwe abo le tswala account ya lona
298,Wesley K Takashi,"DStvcome explain this ,  i subscribed Last Saturday around 6pm and today is friday and  its already popping a Msgs saying 5 days left of viewing how come ?????",6,9,"Morning Wesley K Takashi, apologies for the misinformation regarding your due date. This was a technical error which is sometimes caused by poor signal.   Your actual due date is in line with your last subscription date. Enjoy your viewing and thank you for subscribing.",
299,Ndiupi Senyahale Ndlovu,Bathong I desperately need my passport tomorrow which I applied for last week on Thursday.Its a renewal.What can I do to get it by tomorrow?Ke nale an urgent family matter ko South Africa,47,129,"Just go there if you are in gc..sale e dule..my renewal took two day...I applied on Monday afternoon and told them had work training on wed""which was true"" and they gave it to me...",After going through most of your comments I can safely say you are professional criminals 
300,Loatile M. Seboni,"Khumo Properties managers of Airport Junction Mall why are you chopping down treeswhen the worldover is talking about the importance of treesto mitigate against climate change. Sustainable Development Goal 13 speaks about the need for urgent action to combat climate change and its impact.. As property people you should know better about the importance of trees to the environment, aesthetics of the place and the value they bring to it.",22,11,"There are some city security installations around the mall, and those trees obscure the camera views. They need t be cut. Also, Even it it that wasn't the case, thats  a mall, not a park, so future developments of the mall will still force the trees to be cut off anyway.","Pruning is quite often all that is required - more effort though, so clearly not an option"
301,Chikondi Lorato Kamphulusa,How did you guys manage with video verification because wowAowa guys aowaa,,3,"Yeo ke mmereko,ya ko mascom baÿe gogo direla gago sa tlhole gole line",
302,Tshepiso Tahepi,"I SENT P500 TO THIS LADY OF SAVITA INVESTMENT PLATFORM, SHE HAS OT GIVE ME MY MONEY, UP TO NOW SHE REFUSED WITH MY MONEY.SCAM BE ALERT",,2,"YES SIR, THAT'S THE SCAM... AM NOT AFRAID TO SAY IT EVEM ON TELEVISION, I HAVE PROOF, THEY SCAMMED ME... IT'S A SCAM",
303,Soline Lippe de Thoisy,"Good day,",4,,,
304,Djboza Da Ultimixer,"Hello guys please I need advice.I borrowed someone his equipment to use at his bar outlet. It turns out that the guy has been lying to him and he has since pawned my equipment along with other people’s equipments In Different pawn shops around town.Now my question is, can I be able to get my equipment from the pawn shop if I produce the receipt to show that the equipment belongs to me without having to pay for what he owe?How did the pawn shop get the equipment without t…See more",22,35,Which route do you want to take?,Thank you guys. I went to BBS police and with the help of CID I managed to get my equipment back. The guy in a holding cell as other people come forward to claim their property. It turns out he is a bigger scam than I anticipated. He even pawned his wi… See more
305,Leruo Tau,,22,21,ABSA Bank in Pilane your service is appalling ,ABSA Bank in Pilane your service is appalling 
306,Paul Phiri,Good day. Is there an standard regarding the size of a loaf of bread? Some years ago loaves of bread were generally 700 grams then we saw 600 grams and now there is 500 grams on the market with more or less the same price or more in some instances.,,,,
307,Motto Toro,,1,1,"It is good looking site but as you sound like a webdev like myself I have identified a few issues, 1. The elements that should be hovered do not have hover effects e.g. the nav items and the items that do not require hover effects like the cards have … See more",
308,Ruri Kopi,"Here to Praise OMANG office, by borakalalo (old Labour offices by government enclave) went in to renew my omang the Staff at work on Wednesday 21st August ....I must  say wow..the young ladies, the revenue officer...not only were  they welcoming the  effectiveness expirienced was a wow.. I even wondered if its the same office I ve been visiting in  past years...well done guys and keep it up....Will see you again in a few weeks for my collection....",44,11,Keep it up Borakanelo Office,Keep the momentum Team Borakanelo
309,Molly Chikoma Ronald,Bathong go diragalang Ka network ya Botswana Telecommunications Corporation-BTC and Orange. Kana this is my 3rd week network e le very bad mo Kazungula and Kasane.  Ke subscribela lefela.  And SE SE gakgamatsang ke gore fa o ya dishopong both networks Di tshwara sentle Mme fa o boela KO dijarateng network ya tsamaya. Ke NE ke tsaya kere gongwe bothata ke phone yame but if the network e kgona go nna super strong KO dishopong then I want to believe gore phone yame e siame.,5,1,"The only way this can be rectified is to increase the installations of microwave towers for both different networks (Orange,Mascom & BTC) as the one existing is no longer capable to cover the fast growing pre- Urban village of Kazungula. At the same ti… See more",
310,Keorwele Qhamaya,"Ke kopa thuso please,ke ne ke rekile bar fridge Mo carnival,I used it for 4months e Bo e tima,,,then I returned it go tla le jaana Ga ba ise ba e tise,ba mpaa ha le ha! Ke dire jang?",6,8,Which brand,"Do you have the proof of purchase? If so go and see RMA service centre in phakalane with the fridge, you will get assistance"
311,Ookeditse Ncana,Thanks for this platform Absa managed to refund me....now your apology is acceptedAAbsa Bank BotswanaBAbsa Bank BotswanaBAbsa Bank Botswana,16,6,"Lucky u dear ,Rona babangwe re mono fela go tla re tseye kgato 6 months  now re emetse Madi  Absa Bank Botswana .",Ao o kgonne go bona sengwe thanks god
312,Keff SP,"Dumelang Consumer Watchdog Botswana. Kompone tsedi ipapatsang mo Facebook mme disa provide service sentle edi e bapaditseng jaakaMMC Construction and Logisticsgo ikuelwa kae ka tsone bathong.  I ordered for bricks from this company abo gotwe ditena tsame di dintsi ga ba na truck e tona,ba tsere malatsi ke emetse gore ba batle truck ba tsise ditena ka itlhoboga ka kopa refund.  Refund ya teng go tloga ka June le gompieno ba santse ba palelwa kego busa madi otlhe. Ke gore go …See more",4,6,O ne o batla ditena di le kae?,
313,Richard Harriman,,47,20,"Kim's Pet Palace GC great feedback, well done to the team   ",
314,Magadi Kebareng,Tswana gas palapye competitors kindly forward your contacts am receiving more than 4 to 6 calls every day people in need of gas am offering it forfree.mycell number was wrongly used at no apology by tswana gas am tired of receiving and returning calls only to say its a wrong number.,13,12,Ako o register company ya go rekisa digas once o itsele dicustomer sesolo..gatwe Modimo ga fe letsogo Magadi Kebareng ...nna i will use the opportunity ..,"Ele Modimo a go raya are ""rekisa di gas"""
315,Ookeditse Ncana,"AbsaBankBotswanasentle ntle how long should we wait to be refunded because your seven working days is a scam.I long did M-wallet transaction of P3500.00 on the 3rd august which you debited the money from my account but never credited to my orange money account even today you are failing to refund my money, i am tired with the  apologies i get daily when calling to do follow up....madi ao ra bo re a budgetetse kana... on the 15th i went to Absa Tutume hoping to get help but…See more",38,32,L recommend Standard Chartered Bank..Batho bao ba itse se ba se dirang..Maloba I wrongly sent Madi to nambara engwe and they reversed madi ka pele,Expect a refund in 30-45 working days.....I once had a similar encounter after swiped at a certain shop only for my card to decline and my account being debited....went to the bank to lodge a complaint and i was told to wait for that long ..
316,Timothy Charles Ellwood,Good morning. I think there is something seriously wrong with the electronic banking system in Botswana.  The Sterling I transferred on Monday from the U K has still not credited my FNB account here.On a different note I transferred funds from my Corporate account with Access Bank to my Corporate account with FNB on Tuesday morning. The funds still not reflecting in FNB.What is going on?,1,2,They are a joke.,
317,Malebogo Diboko,Eish bathong how do u cope le service ya mascom galo branch Mo getto hey e very very poor,6,18,Mathata batho ba tlala ko Galo mall but sunshine mall ga go nke go nn le line,
318,Moss Siviya,"I would like to praise and Thank Francistown Academic Hospital for their exceptional service and care to their patients.What an amazing experience i had while hospitalized there!Special thanks to Dr Mhembelo,Dr Verma,MmaTshepho,Neo,MmaNgwenya,the Matron and all other Staff members I did not mention..Tshwarang fela jalo bagaetsho le thuse balwetsi  ka lorato.Stay blessed.",42,4,Welldone Francistown Academic Hospital kerp it up guys,Keep it up FAH
319,Dynah Serame,,92,90,"Ke botsa ka mowa oo iketlileng, ha home choice e go leletsa corner to corner mme osa ba kolote baka repotiwa kae.","Ke botsa ka mowa oo iketlileng, ha home choice e go leletsa corner to corner mme osa ba kolote baka repotiwa kae."
320,Kentse Kebaemetse,Botswana power cooperation le motlakase wa yone wa mahala ore tsentse mo diphatseng mo maun. Batho ba power ba letsa bare ba etla ebe re tlhola re ba emetse le ka moso hela jalo.Sale ba tore beela cable ebile magodu a setse a lala a dikologa ba batla Goetsaya.Ketshoga gore ba kgona go feletsa le rona bare tseneletse mo mantlong. Its been a month and half ntse go ntse jalo.Sale ba letsa ba re reetla in 2 hours le jaana ebile re latla e nngwekgwedi.Gake ye gope ke nna hela …See more,2,4,Rona re nale kgwedi re tsentse gre ba tla go tshuba leng gare itse ha re bua bare ga ba na meters kana ke eng gone golo moo ga bone,
321,Kegomoditswe Sefudi,"Now we have mala proper!!!!Thank you for reaching out Mr Molatole and thank you Mr Adam, SPAR Ghanzi manager for being so nice and most of all for packaging mala tota eseng mole ga maloba!..gape ke lebogela coke tota.le ka moso betsho!",58,4,Wena mme mmaetsho e rile o tsaya lemipi ne ore ole isa kae at first ,Aitse mo Mabutsane ga re ke re bona mala!!! Go nna go condemilwe hela!!!
322,Dan Pitla,"I would like to thank  Dr Sekai Jakoba, Arch Bishop of Eloyi Christian Church and DrillRite Proprietary Limited for a job well done. Dr Jakoba surveyed and confirmed the water point and DrilRite just drilled right my borehole in a very challenging  water logged mud rock. Rock or no Rock, I have a dependable borehole. Thank you again for the best service you rendered.",171,20,,
323,Tshiamo Tsolope,"Ako le nthuseng ha, kana I bought motlakase for 2 meter boxes both same amount and within a space of 3 minutes apart but di units di tla disa tshwane... Sentle sentle lare BPC e dira jang?",11,22,"Lantlha ke utlwa about the usage thing,thanks to the group ke tlaa rutega..gatwe 200KW o bereka yang betsho",nothing to do with prices but use 
324,Leonard Puso,"Thank you very muchAbsa Bank Botswanafor crediting P350 to my account, being refund for electricity purchase that failed to deliver a token on 01.08.2024. Ms. Mosekaphofu of Absa  even went an extra mile to call me to notify me of the refund and once again apologized for the delay (apology #5 since 01.08.2024).  Thank you very muchConsumer Watchdog Botswanafor having a great follower in Absa Bank Botswana who saw my complaint on your platform and refunded within 24hrs.",29,20,Sure Mleno! Nna maabane I told you gore solution ke go kgama mongwe ka thai ,
325,Nicholas NickyBoi Jobe Ngoma,"Kante Orange Botswana ya go emisa go re jela madi as a country fa gorileng.? Fa o tsenya P2 after 2mins ga gona, fa o bata ba go araba ka gre o activatile sengwemme nnete ele gre ga o ise o dire sepe sa gonna jaloOrange Botswana please stop to activate those things for us",43,27,Ke bothata mokwena,Quin CʜocʞʟʌTy Gııʀʟ kgang ya gago
326,Kealeboga Bridget Richard,,183,237,Bathong le lemogile gor furnmart e tsaa ma P50 every month gatwe kea service fee,Ba dira bogodu
327,Ba Fo,Botswana telecommunications company do you really want to test me when I'm home sick with flu? Your router ke e yaabo e simolotse but I paid 2 weeks ago. Le simolotse go twaela le lona?,15,6,be kind to them. At least they are responsive to complaints. My new Fibre internet network parked up but they were quick to correct the situation.,
328,Buru Mothusi Madisa,Bathong dispatela  tsa Kgatleng ke mathata re sa le re ya Deborah ka 7pm to 3:20am ntse go sena thuso ye re boneng..ke isa ngwana a robegile lebogo ka feleletsa ke tsere ngwana re ya Gaborone gore a ye go bona thuso koo..,66,27,"batho ba Drm ga bana sepe le balwetse  ba banya balwetsi mo emergency room more than 24 hrs , ba sa ba fe dijo, go Sena dikobo ",
329,Lizibo Julliah Changate,"Good morning good people,I just wanted to take this time and express gratitude to these gentlemen named Kabo Lejoni and.Mathiba Mathiba for the love they showed me and my kids after we had a break down by block 5  choppies around 8 pm last night,the guys went an extra mile to make sure I we moved the car to a much safer place ,Kabo pushed it to his house and called Mathiba ,who seemed to be help up somewhere and. Later came to diagnose the car ,he found the problem fixed and …See more",96,7,Well done Rre Kabo and Rre Mathiba,
330,Teehboohzaah Buru,Orangewhats your take on this one?,23,22,Gatwe u immediately block.or else very soon gonna Le Le di transaction mo fone,
331,Kebza Maps,I want to express gratitude to consumer Watch dog for being an option in times of dismaysAlso I want to appreciateExpresscredit.co.bwManagement for their prompt Professional conduct where there was needThank you Facebook family for the supportI had received clarity in a form of letter and my Trust in company restored,18,,,
332,Kutlo Shono Maskaot,Waitse deh is a lady by de name Ame ko Pilane branch Fnb. Tjooh dat lady o tla go thusa ka lorato lele massive. Tswella fela o tshwere jalo nnaka.,37,8,"Hello Kutlo Shono Maskaot, ",She is fantastic. Gaone is equally customer focused. FNB Botswana bana ba gago ba dira go tala ka diata…
333,Bay Wizzy Fx,"So based on common sense,Cipa yare re tseye P2500.00 wa company restoration ntse re paletswe ke matsana a go duela diannual return gape??make it make sense,coz go abo go supa hela gore motho ntse a ikgogela ka bokete",56,37,"Depending on the company,if e Sena dicode get a new one registered  nna ke tletse dah",
334,Mis Kay,M disappointed ka service yaOrange...my business orange money phone was stolen yesterday then i reported ko orange offices  the only thing they assisted me with ke transaction history...i asked them to freeze account of the number the money was sent to ke those thieves so that i can do followup they refused to do that....i also asked them to give me full details of that person still they refused bare e batla court order.....amme rele agent tsa orange money services re safe ?,4,3,Report Orange ko Consumer affairs ba tshamekisa batho,"Orange why are you refusing to assist your agents?What kind of service is this?Please improve your service and help Mis Kay. Mis Kay report them ko consumer affairs,I am sure you are not the only agent to have this problem,they should have systems in p… See more"
335,Gladys Zetty Ketlogetswe,CanStandard Chartered Botswanaexplain to us why we cannot log into our 360 rewards accounts and redeem our points...,4,,,
336,Beverly Peloentle,Good evening family and Richard.My sister has asked me to post this on her behalf .This is what happened according to her story .,179,213,Motswana woman o kae?? Ke tsone dikgang tsa gagwe tse,Are you that bored?
337,Kobamo Thando,Scammers are still at it,3,2,Ewalet is from FNBB not from users numbers..be aware,"Copy the message obo omoo sendela back, akere ona le pin e ae batang"
338,Bay Wizzy Fx,"The internet is so expensive for an average motswana in this countrywho is responsible for approving this ridiculous prices??gape i dont think we are given the exact advertised amount of data totaone video ka my social ebile ba go kgaola mme video e tsere a mere 5 seconds nnya bathong,next thing o duela a hand and a leg for poor internet",115,112,"Sad reality about all the internet providers. Re jewa ntsoma shem, I they don't seem to be bothered at all",Botswana is a free market you are allowed to cheat customers  prices gouging is legal
339,Bay Wizzy Fx,"Fnbb its high time you go back and review your charges for opening a business account,how can a mere motswana who is trying to establish a company a kopanya hale le hale pay P1000 to open an account a ise a simolole go dira madi,ebile gape setse le mo patreka ka your charges tse dintsi ntsi,atleast make opening P500",39,38,,
340,Leonard Puso,"It's day 20 today since buying electricity throughAbsa Bank Botswanawhich failed to produce the token but bank was very quick to deduct the money (P350). Had to buy from a different vendor (Poso) that same day. So far these are my failed attempts;1. Four calls to the absa call center which got answered after a lengthy 10 minutes.2. Four apologies from 4 different call center agents (those girls are very good at it, yoh)3. Four promises of a refund (supposedly within 7 da…See more",9,34,,
341,Richard Harriman,,3,2,"It's funny they say there is no need to engage a consultant forgetting that consultants play a huge role in the success of their organization,and not every motswana is literate enough to understand those requirements,are they saying you can do financia… See more",
342,Keneilwe Seokolo,FNB Botswanake tshwanela kego fola line e telele jaana lefa ke dira kyc waitse lare sokodisa ka madi a rona  I can't withdraw my money,11,4,4hrs in the bank,FNB ke ne ke subscribe DStv ka Tuesday fa ke ba leletsa bare madi Ga ba a bone kopa le Buse madi aka and ke la Bo 2 le dira Jana Mo go nna
343,Berry Bongbong,"Gud day!just wanna thankRichardHarrimanfor his gud service,orange ene engwabaile ka madi ame since April,but ka thuso ya gagwe ke a bonye.thanks once again sir",6,2,Pearl Bongbongg go bata o cheka Richard Orange ha e sa go tshole serious,
344,Ras Barnes,"Nna , ke botsa gore keng diofisi tsa ba consumer affairs vditswetswe ka dine di re thusa mo dikgalong tsa rona.Ke bua jaana go kwala go tsaya nako go hetolwa, o kare go thuswa  borra dishop gore se ngongorege.Keng go sa dirwe gore di nne mi diofising tsaga council chairman kana molaodi iana ba commercial affairs tota ka gore ke bone ba dikgwebo.",1,,,
